time (s)	coil I (A)	last det (V)	int current (uC)
13962.336722	1.207723	0.157156	535.021484
13962.337620	1.705346	0.157156	2066.421875
13962.338597	1.682692	0.157156	3710.411621
13962.339499	1.635765	0.157156	5185.872070
13962.340393	1.590586	0.157156	6607.855957
13962.341331	1.545553	0.157156	8057.584473
13962.342249	1.501798	0.157156	9436.235352
13962.343159	1.460716	0.157156	10765.487305
13962.344053	1.422012	0.157156	12036.765625
13962.345018	1.382721	0.157156	13371.091797
13962.345926	1.346514	0.157156	14593.726562
13962.346822	1.311240	0.157156	15768.597656
13962.347747	1.276655	0.157156	16949.503906
13962.348666	1.243279	0.157156	18092.076172
13962.349572	1.211136	0.157156	19189.365234
13962.350467	1.180807	0.157156	20246.187500
13962.351405	1.150422	0.157156	21325.283203
13962.352329	1.124099	0.157156	22363.951172
13962.353238	1.099728	0.157156	23363.603516
13962.354133	1.072994	0.157156	24323.933594
13962.355091	1.046752	0.157156	25326.722656
13962.356005	0.975868	0.157156	26218.666016
13962.356905	0.183625	0.157156	26383.929687
13962.357838	0.091102	0.157156	26468.927734
13962.358736	0.091036	0.157156	26550.677734
13962.359632	0.091143	0.157156	26632.341797
13962.360517	0.091132	0.157156	26712.994141
13962.361453	0.091260	0.157156	26798.414062
13962.362366	0.091150	0.157156	26881.634766
13962.363264	0.091091	0.157156	26963.435547
13962.364152	0.091179	0.157156	27044.402344
13962.365101	0.091238	0.157156	27130.986328
13963.397578	1.199443	0.131113	526.555603
13963.398548	1.708202	0.131113	2183.511475
13963.399464	1.681666	0.131113	3723.917725
13963.400397	1.634143	0.131113	5248.573242
13963.401290	1.588022	0.131113	6666.677246
13963.402242	1.542667	0.131113	8135.296387
13963.403149	1.499795	0.131113	9495.610352
13963.404042	1.459695	0.131113	10799.118164
13963.404990	1.419456	0.131113	12144.761719
13963.405908	1.381436	0.131113	13412.919922
13963.406833	1.344543	0.131113	14656.623047
13963.407739	1.308611	0.131113	15842.224609
13963.408703	1.272814	0.131113	17069.216797
13963.409613	1.240089	0.131113	18197.697266
13963.410510	1.208558	0.131113	19281.773437
13963.411439	1.177306	0.131113	20375.490234
13963.412361	1.147584	0.131113	21433.562500
13963.413267	1.122286	0.131113	22450.353516
13963.414157	1.098098	0.131113	23427.660156
13963.415097	1.070640	0.131113	24434.060547
13963.416011	1.044430	0.131113	25388.669922
13963.416931	0.934160	0.131113	26248.097656
13963.417832	0.154091	0.131113	26386.933594
13963.418796	0.091014	0.131113	26474.671875
13963.419692	0.091077	0.131113	26556.277344
13963.420579	0.091172	0.131113	26637.146484
13963.421508	0.091256	0.131113	26721.923828
13963.422413	0.091084	0.131113	26804.355469
13963.423327	0.091073	0.131113	26887.595703
13963.424212	0.091190	0.131113	26968.298828
13963.425162	0.091121	0.131113	27054.863281
13963.426066	0.091139	0.131113	27137.251953
13964.450253	1.209946	0.139890	532.376343
13964.451215	1.708092	0.139890	2175.561035
13964.452140	1.682000	0.139890	3731.410645
13964.453046	1.635388	0.139890	5213.072266
13964.453994	1.588059	0.139890	6718.552246
13964.454905	1.543246	0.139890	8124.449219
13964.455813	1.500666	0.139890	9487.054687
13964.456703	1.460358	0.139890	10786.773437
13964.457646	1.420053	0.139890	12125.882812
13964.458565	1.382355	0.139890	13396.266602
13964.459468	1.345660	0.139890	14611.397461
13964.460387	1.309567	0.139890	15814.888672
13964.461322	1.275161	0.139890	17007.164062
13964.462235	1.241638	0.139890	18140.779297
13964.463136	1.210316	0.139890	19231.273437
13964.464073	1.178712	0.139890	20335.726562
13964.464984	1.148833	0.139890	21382.312500
13964.465889	1.124030	0.139890	22399.558594
13964.466780	1.099585	0.139890	23379.289062
13964.467719	1.072288	0.139890	24386.167969
13964.468647	1.045979	0.139890	25356.835937
13964.469549	0.972026	0.139890	26233.603516
13964.470487	0.179854	0.139890	26402.306641
13964.471392	0.091113	0.139890	26484.763672
13964.472290	0.091128	0.139890	26566.595703
13964.473175	0.091113	0.139890	26647.230469
13964.474122	0.091293	0.139890	26733.685547
13964.475023	0.091198	0.139890	26815.855469
13964.475916	0.091135	0.139890	26897.238281
13964.476801	0.091128	0.139890	26977.886719
13964.477727	0.091227	0.139890	27062.363281
13964.478643	0.091128	0.139890	27145.835937
13965.545937	1.205867	0.108957	532.993103
13965.546828	1.705448	0.108957	2052.547363
13965.547790	1.683864	0.108957	3672.424072
13965.548703	1.636871	0.108957	5166.887695
13965.549600	1.591241	0.108957	6594.231445
13965.550530	1.545842	0.108957	8031.864746
13965.551449	1.502454	0.108957	9412.619141
13965.552354	1.461321	0.108957	10735.114258
13965.553249	1.423257	0.108957	12008.929687
13965.554202	1.384105	0.108957	13327.982422
13965.555117	1.347158	0.108957	14560.631836
13965.556022	1.311504	0.108957	15747.542969
13965.556946	1.276963	0.108957	16927.457031
13965.557868	1.243850	0.108957	18074.287109
13965.558780	1.211385	0.108957	19179.070312
13965.559677	1.180499	0.108957	20237.978516
13965.560608	1.151016	0.108957	21309.574219
13965.561522	1.124982	0.108957	22337.806641
13965.562435	1.100515	0.108957	23342.576172
13965.563328	1.073837	0.108957	24301.511719
13965.564290	1.047279	0.108957	25308.994141
13965.565211	0.981617	0.108957	26213.064453
13965.566120	0.186691	0.108957	26382.765625
13965.567048	0.091124	0.108957	26467.328125
13965.567948	0.091223	0.108957	26549.429687
13965.568857	0.091117	0.108957	26632.255859
13965.569754	0.091128	0.108957	26713.998047
13965.570689	0.091176	0.108957	26799.248047
13965.571593	0.091161	0.108957	26881.658203
13965.572493	0.091161	0.108957	26963.703125
13965.573382	0.091102	0.108957	27044.693359
13965.574340	0.091179	0.108957	27132.042969
13966.602698	1.194957	0.173040	518.611450
13966.603641	1.705225	0.173040	2126.638184
13966.604547	1.684168	0.173040	3652.493896
13966.605454	1.637216	0.173040	5137.448242
13966.606350	1.591871	0.173040	6563.765137
13966.607309	1.545571	0.173040	8045.967773
13966.608213	1.502769	0.173040	9404.470703
13966.609116	1.461691	0.173040	10724.376953
13966.610012	1.422645	0.173040	11999.067383
13966.610972	1.383735	0.173040	13327.453125
13966.611887	1.347202	0.173040	14560.142578
13966.612795	1.311266	0.173040	15750.771484
13966.613726	1.276853	0.173040	16939.521484
13966.614636	1.243586	0.173040	18071.185547
13966.615543	1.211287	0.173040	19169.822266
13966.616441	1.180767	0.173040	20230.150391
13966.617393	1.150448	0.173040	21325.376953
13966.618305	1.124835	0.173040	22351.226562
13966.619204	1.100460	0.173040	23340.541016
13966.620119	1.073361	0.173040	24322.666016
13966.621062	1.047147	0.173040	25310.125000
13966.621976	0.978398	0.173040	26204.380859
13966.622886	0.187306	0.173040	26374.830078
13966.623818	0.091187	0.173040	26459.816406
13966.624723	0.091241	0.173040	26542.390625
13966.625629	0.091132	0.173040	26624.955078
13966.626518	0.091154	0.173040	26705.990234
13966.627455	0.091190	0.173040	26791.435547
13966.628361	0.091150	0.173040	26874.017578
13966.629249	0.091102	0.173040	26954.916016
13966.630155	0.091117	0.173040	27037.468750
13966.631090	0.091227	0.173040	27122.765625
13967.666643	1.229216	0.087651	551.918152
13967.667611	1.708693	0.087651	2205.932617
13967.668531	1.681077	0.087651	3752.522949
13967.669439	1.634235	0.087651	5236.408203
13967.670373	1.587766	0.087651	6719.381836
13967.671284	1.542792	0.087651	8124.865234
13967.672194	1.500278	0.087651	9490.118164
13967.673087	1.459790	0.087651	10793.710937
13967.674030	1.419836	0.087651	12132.617187
13967.674949	1.382311	0.087651	13402.960937
13967.675843	1.346049	0.087651	14606.328125
13967.676772	1.309669	0.087651	15823.010742
13967.677697	1.274927	0.087651	17002.318359
13967.678611	1.241880	0.087651	18137.396484
13967.679518	1.210485	0.087651	19235.306641
13967.680451	1.178760	0.087651	20335.089844
13967.681365	1.148822	0.087651	21385.113281
13967.682275	1.123945	0.087651	22407.904297
13967.683169	1.099072	0.087651	23390.474609
13967.684110	1.071929	0.087651	24399.160156
13967.685025	1.046503	0.087651	25356.710937
13967.685924	0.972349	0.087651	26230.851562
13967.686860	0.178989	0.087651	26398.384766
13967.687768	0.091088	0.087651	26481.091797
13967.688667	0.091073	0.087651	26562.966797
13967.689555	0.091168	0.087651	26643.923828
13967.690485	0.091187	0.087651	26728.726562
13967.691386	0.091117	0.087651	26810.822266
13967.692298	0.091073	0.087651	26893.880859
13967.693191	0.091099	0.087651	26975.232422
13967.694131	0.091139	0.087651	27060.902344
13967.695045	0.091106	0.087651	27144.173828
13968.724491	1.276842	0.115008	628.206238
13968.725399	1.707766	0.115008	2178.857910
13968.726293	1.683076	0.115008	3683.527832
13968.727227	1.635487	0.115008	5211.072754
13968.728149	1.588268	0.115008	6675.455566
13968.729056	1.544176	0.115008	8076.023437
13968.729951	1.502256	0.115008	9420.541992
13968.730918	1.458622	0.115008	10831.029297
13968.731826	1.419807	0.115008	12120.213867
13968.732730	1.383014	0.115008	13370.458984
13968.733628	1.345712	0.115008	14578.908203
13968.734579	1.309515	0.115008	15824.257812
13968.735483	1.275286	0.115008	16977.115234
13968.736375	1.242455	0.115008	18085.384766
13968.737319	1.210217	0.115008	19227.830078
13968.738240	1.178419	0.115008	20313.154297
13968.739151	1.148968	0.115008	21359.865234
13968.740046	1.124429	0.115008	22366.228516
13968.741007	1.098267	0.115008	23421.662109
13968.741919	1.071522	0.115008	24398.890625
13968.742818	1.046371	0.115008	25339.578125
13968.743738	0.954360	0.115008	26217.589844
13968.744675	0.163711	0.115008	26370.986328
13968.745572	0.090956	0.115008	26452.574219
13968.746459	0.091099	0.115008	26533.378906
13968.747392	0.091110	0.115008	26618.384766
13968.748304	0.091091	0.115008	26701.460937
13968.749206	0.091121	0.115008	26783.652344
13968.750094	0.091047	0.115008	26864.501953
13968.751053	0.091121	0.115008	26951.886719
13968.751955	0.090996	0.115008	27033.964844
13968.752845	0.091154	0.115008	27115.091797
13969.800649	1.215729	0.122653	531.273437
13969.801626	1.708000	0.122653	2199.989746
13969.802539	1.681417	0.122653	3735.123535
13969.803436	1.635088	0.122653	5201.797363
13969.804384	1.587828	0.122653	6707.058594
13969.805309	1.542715	0.122653	8134.069824
13969.806243	1.498766	0.122653	9533.916992
13969.807139	1.458014	0.122653	10840.297852
13969.808078	1.418346	0.122653	12172.125000
13969.808990	1.380974	0.122653	13431.573242
13969.809891	1.344576	0.122653	14643.037109
13969.810832	1.308827	0.122653	15874.643555
13969.811755	1.273407	0.122653	17049.998047
13969.812662	1.240565	0.122653	18175.191406
13969.813552	1.209459	0.122653	19251.609375
13969.814504	1.177599	0.122653	20372.683594
13969.815424	1.147225	0.122653	21428.130859
13969.816351	1.122378	0.122653	22468.574219
13969.817245	1.097289	0.122653	23449.550781
13969.818195	1.069889	0.122653	24465.945312
13969.819100	1.044727	0.122653	25411.423828
13969.820000	0.937756	0.122653	26255.404297
