time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
10277.849968	4.483219	2.029408	2.209127	233
10278.887486	4.765834	2.016208	2.363761	234
10279.962386	4.297490	2.027620	2.119475	235
10281.001429	4.986112	2.010770	2.479703	236
10282.076622	4.315335	2.002483	2.154992	237
10283.116298	4.791866	2.014096	2.379165	238
10284.189892	4.349124	2.016705	2.156550	239
10285.229222	5.135478	2.024962	2.536086	240
10286.304420	4.378216	2.016503	2.171192	241
10287.344040	4.815794	2.007536	2.398858	242
10288.418320	4.623745	2.019482	2.289570	243
10290.533244	4.313673	2.013243	2.142649	244
10291.570249	4.662431	1.961244	2.377282	245
10292.648200	4.584816	2.019636	2.270120	246
10293.684537	5.224257	1.971412	2.650008	247
10294.762001	4.336125	2.022221	2.144239	248
10294.762001	4.336125	2.022221	2.144239	249
10295.798035	5.009331	2.015351	2.485587	250
10296.877548	4.739274	2.026515	2.338632	251
10297.910410	5.230378	1.999217	2.616213	252
10298.991781	4.361042	2.015048	2.164238	253
10301.105739	4.623126	1.961318	2.357153	254
10301.105739	4.623126	1.961318	2.357153	255
10302.144844	4.935200	1.998665	2.469248	0
10303.219511	4.535419	2.017473	2.248070	1
10304.249189	4.913944	2.000387	2.456496	2
10305.335285	4.740856	1.952615	2.427952	3
10306.363862	5.072302	2.017899	2.513655	4
10307.449142	4.601355	1.965174	2.341449	5
10309.561958	4.782060	2.022956	2.363897	6
10310.593329	5.114667	2.026960	2.523320	7
10310.593329	5.114667	2.026960	2.523320	8
10311.675512	4.834898	2.013801	2.400882	9
10312.707536	4.851513	1.934315	2.508130	10
10313.789152	4.900237	2.011691	2.435879	11
10314.822954	5.057291	2.024624	2.497891	12
10316.936597	4.930830	1.975379	2.496143	13
10316.936597	4.930830	1.975379	2.496143	14
10319.051143	4.868260	2.008673	2.423620	15
10319.051143	4.868260	2.008673	2.423620	16
10320.126943	4.963249	1.994251	2.488779	17
10321.166024	5.063487	2.006130	2.524008	18
10322.240948	5.058250	2.000705	2.528234	19
10323.280802	4.985660	2.021215	2.466665	20
10325.394260	4.842176	1.941271	2.494333	21
10325.394260	4.842176	1.941271	2.494333	22
10326.470082	4.957970	1.972518	2.513524	23
10328.583547	5.023791	2.009222	2.500367	24
10328.583547	5.023791	2.009222	2.500367	25
10329.622284	4.950458	1.973536	2.508421	26
10330.699477	4.829451	1.954922	2.470406	27
10331.734102	5.152884	2.013891	2.558670	28
10333.847972	5.318732	2.017886	2.635794	29
10334.928358	4.782916	1.942812	2.461852	30
10334.928358	4.782916	1.942812	2.461852	31
10335.961250	5.085957	1.953654	2.603305	32
10337.050880	4.950283	2.024178	2.445577	33
10338.074853	5.293325	2.027474	2.610798	34
10339.158025	5.063046	2.020664	2.505635	35
10340.190206	5.363370	2.016429	2.659836	36
10341.271981	5.079258	2.000488	2.539009	37
10342.311182	5.255250	2.013556	2.609935	38
10343.386959	5.056752	2.023798	2.498646	39
10344.417933	5.260164	1.956911	2.687994	40
10345.500664	5.069928	2.016479	2.514247	41
10346.532090	5.448468	2.001256	2.722525	42
10348.646979	5.353152	1.952787	2.741288	43
10348.646979	5.353152	1.952787	2.741288	44
10349.726080	4.958145	2.007602	2.469686	45
10350.760970	5.512692	2.002713	2.752612	46
10351.839923	5.203820	2.013981	2.583848	47
10352.876029	5.488964	2.001295	2.742707	48
10353.953005	4.774966	1.931911	2.471629	49
10354.990820	5.586119	2.008382	2.781403	50
10356.065324	5.184299	2.019528	2.567085	51
10357.105573	5.560805	2.025270	2.745710	52
10358.178943	4.882910	1.942467	2.513767	53
10359.219792	5.476352	1.990111	2.751782	54
10360.292441	5.074564	2.025789	2.504981	55
10361.333886	5.631345	1.999771	2.815995	56
10362.407271	5.069082	2.018244	2.511631	57
10363.447692	5.566244	2.028714	2.743731	58
10364.522073	5.212783	2.024042	2.575432	59
10365.560728	5.686217	2.007498	2.832489	60
10366.635806	4.998820	1.970366	2.537002	61
10368.749513	4.951776	1.924563	2.572935	62
10368.758026	5.040253	2.007518	2.510689	63
10369.789979	5.541056	1.957714	2.830370	64
10370.865659	5.155297	2.015525	2.557793	65
10371.902295	5.652505	1.988043	2.843251	66
10372.978537	5.199389	2.005499	2.592566	67
10374.016736	5.779780	2.025029	2.854172	68
10375.094573	4.981542	1.964677	2.535553	69
10376.136943	5.652367	2.009116	2.813360	70
10377.210158	5.492218	2.018334	2.721164	71
10378.242544	5.691459	2.018038	2.820294	72
10379.322985	5.362565	2.010005	2.667936	73
10380.356516	5.848240	2.018610	2.897162	74
10381.437339	5.283062	1.990337	2.654356	75
10382.469695	5.739031	2.021411	2.839121	76
10383.551499	5.299062	1.988546	2.664793	77
10384.584298	5.794257	2.009999	2.882717	78
10385.665830	5.408462	2.024369	2.671678	79
10386.698878	5.764106	2.016470	2.858514	80
10387.778919	5.543466	2.018440	2.746411	81
10388.812535	5.613208	2.011067	2.791160	82
10389.892766	5.417899	1.987649	2.725782	83
10390.927843	5.742168	2.022064	2.839755	84
10392.006242	5.431490	1.958135	2.773808	85
10393.042307	5.777328	2.011055	2.872785	86
10394.120236	5.551883	2.006793	2.766546	87
10395.155879	5.532327	1.936650	2.856648	88
10396.233766	5.637227	2.028410	2.779136	89
10397.270261	5.780652	2.023593	2.856627	90
10398.346911	5.595391	2.004743	2.791076	91
10399.384791	5.764945	2.006583	2.873016	92
10401.499651	5.711973	1.999740	2.856357	93
10401.499651	5.711973	1.999740	2.856357	94
10402.576562	5.710768	2.004519	2.848947	95
10403.613920	5.760725	2.009947	2.866108	96
10404.690819	5.682667	2.022034	2.810371	97
10405.726847	5.873663	2.028918	2.894974	98
10406.804281	5.620201	2.007621	2.799433	99
10407.840761	5.902746	2.021987	2.919281	100
10408.918454	5.654792	2.006066	2.818846	101
10409.954253	5.898433	2.018759	2.921812	102
10411.033357	5.792988	2.024205	2.861858	103
10412.066725	5.733495	1.958364	2.927696	104
10413.147198	5.612720	1.968316	2.851534	105
10414.181680	5.923707	2.023682	2.927192	106
10415.261437	5.527397	1.977464	2.795194	107
10416.296694	6.136369	2.021589	3.035419	108
10417.376634	5.460486	1.935807	2.820781	109
10418.410738	5.977795	1.948045	3.068613	110
10419.490050	5.611658	1.978645	2.836111	111
10420.524488	6.022311	1.997453	3.014996	112
10421.603630	5.525649	1.937612	2.851782	113
10422.639378	6.082655	2.011277	3.024276	114
10423.717973	5.775070	2.008311	2.875585	115
10424.754077	6.069352	2.006055	3.025517	116
10425.832547	5.770975	2.009235	2.872226	117
10426.867577	6.074186	1.998332	3.039628	118
10427.945294	5.755319	2.017719	2.852390	119
10428.980954	6.165165	2.010119	3.067065	120
10430.058342	5.559147	1.958603	2.838323	121
10431.097093	6.226512	2.001689	3.110630	122
10432.172682	5.691026	2.000977	2.844124	123
10433.212149	6.099728	1.955275	3.119627	124
10434.286547	5.632412	1.982394	2.841218	125
10435.324985	6.138336	1.976271	3.106020	126
10436.400180	5.816790	2.023455	2.874682	127
10437.439316	6.325815	2.021795	3.128811	128
10438.513977	5.801116	2.008670	2.888039	129
10439.553228	6.257732	2.013065	3.108559	130
10440.629096	5.951031	2.011445	2.958585	131
10441.667220	6.327473	2.021694	3.129788	132
10442.743309	6.004116	2.039386	2.944081	133
10443.780543	6.128005	1.978952	3.096591	134
10444.856877	5.842611	1.992143	2.932827	135
10445.895273	6.297649	2.007665	3.136802	136
10446.971529	5.836820	2.005558	2.910323	137
10448.009094	6.492885	2.023693	3.208434	138
10449.086647	5.957026	2.017124	2.953228	139
10450.123196	6.416272	1.986525	3.229898	140
10451.199822	5.898830	1.986719	2.969132	141
10452.236715	6.365928	1.989446	3.199849	142
10453.323008	5.842966	2.009454	2.907738	143
10454.351168	6.320652	1.992761	3.171807	144
10455.428430	6.045239	2.028851	2.979636	145
10456.464484	6.384095	2.006994	3.180925	146
10457.543057	5.962641	1.965892	3.033047	147
10458.578362	6.409537	2.019450	3.173902	148
10459.657676	6.155434	2.017373	3.051213	149
10460.692148	6.485163	2.015904	3.217000	150
10461.771331	6.208591	2.027751	3.061811	151
10462.806836	6.494593	2.013241	3.225939	152
10463.886026	5.931705	1.947409	3.045948	153
10464.921005	6.534302	2.023713	3.228869	154
10465.998635	6.073764	1.989960	3.052204	155
10467.034305	6.430221	2.009402	3.200067	156
10468.112769	6.092414	1.958551	3.110674	157
10469.150182	6.332035	1.976150	3.204228	158
10470.225281	6.268529	2.014361	3.111920	159
10471.264581	6.399890	1.963381	3.259627	160
10472.340413	6.338171	2.003071	3.164227	161
10473.378009	6.274122	1.969937	3.184936	162
10474.454099	6.133716	1.960071	3.129334	163
10475.493097	6.430669	2.012127	3.195956	164
10476.567751	6.090096	1.932686	3.151105	165
10477.605872	6.476321	2.026644	3.195589	166
10478.682388	6.359166	2.019691	3.148583	167
10479.720749	6.410779	1.966397	3.260166	168
10480.796307	6.304296	2.029567	3.106228	169
10481.833891	6.616867	2.019494	3.276497	170
10482.919698	6.122081	2.001643	3.058527	171
10483.948654	6.570569	2.018624	3.254974	172
10485.026623	6.337570	2.020782	3.136196	173
10486.061848	6.637100	2.013485	3.296324	174
10487.140364	6.242909	1.955966	3.191728	175
10488.176361	6.646978	2.014448	3.299653	176
10489.254608	6.443951	2.018027	3.193195	177
10490.290273	6.431095	1.959367	3.282232	178
10491.368701	6.391196	2.018500	3.166309	179
10492.404952	6.744680	2.013676	3.349437	180
10493.483606	6.283431	2.005467	3.133151	181
10494.518494	6.832819	2.021640	3.379840	182
10495.605007	6.179996	2.002531	3.086093	183
10496.632219	6.829286	2.017053	3.385773	184
10497.711267	6.384582	2.021368	3.158546	185
10498.746939	6.868423	2.020650	3.399116	186
10499.825938	6.269280	1.961230	3.196607	187
10500.862050	6.825430	2.013189	3.390358	188
10501.940558	6.448097	2.009780	3.208359	189
10502.975860	6.803927	2.017025	3.373250	190
10504.061167	6.316177	2.010855	3.141041	191
10505.092143	6.870207	2.019590	3.401783	192
10506.167212	6.476737	2.019799	3.206625	193
10507.205845	6.863934	2.017119	3.402840	194
10508.280547	6.469634	2.014466	3.211587	195
10509.320172	6.981544	2.020226	3.455823	196
10510.394898	6.439784	2.006150	3.210021	197
10511.433923	6.683418	1.937270	3.449915	198
10512.508317	6.321913	2.007561	3.149051	199
10513.548096	6.915216	1.991616	3.472164	200
10514.622076	6.463573	2.020303	3.199309	201
10515.661716	7.014573	2.008159	3.493037	202
10516.737329	6.433982	1.970600	3.264987	203
10517.775418	6.934686	2.020048	3.432932	204
10518.852101	6.618407	2.018703	3.278545	205
10519.889852	6.954161	2.022651	3.438142	206
10520.966071	6.607058	2.016623	3.276298	207
