time (s)	coil I (A)	last det (V)	int current (uC)
10853.340091	0.091139	0.334805	26667.115234
10853.340982	0.091095	0.334805	26748.281250
10853.341915	0.091219	0.334805	26833.388672
10853.342816	0.091128	0.334805	26915.494141
10853.343710	0.091077	0.334805	26996.916016
10853.344601	0.091044	0.334805	27078.035156
10853.345534	0.091099	0.334805	27163.029297
10853.346441	0.091011	0.334805	27245.576172
10854.365654	1.225159	0.382250	548.871094
10854.366572	1.715500	0.382250	2123.700684
10854.367477	1.694220	0.382250	3656.969727
10854.368429	1.645137	0.382250	5223.139648
10854.369336	1.598145	0.382250	6672.656738
10854.370243	1.553632	0.382250	8081.800781
10854.371135	1.511012	0.382250	9429.623047
10854.372083	1.467543	0.382250	10820.853516
10854.373007	1.427835	0.382250	12140.172852
10854.373913	1.390221	0.382250	13399.712891
10854.374843	1.352216	0.382250	14657.273437
10854.375761	1.315745	0.382250	15865.126953
10854.376662	1.281515	0.382250	17019.771484
10854.377555	1.248633	0.382250	18134.800781
10854.378509	1.214978	0.382250	19293.890625
10854.379413	1.183682	0.382250	20363.939453
10854.380316	1.153850	0.382250	21405.865234
10854.381210	1.127618	0.382250	22413.957031
10854.382155	1.103225	0.382250	23456.503906
10854.383075	1.075693	0.382250	24446.142578
10854.383981	1.050322	0.382250	25397.734375
10854.384917	0.984792	0.382250	26319.500000
10854.385832	0.186368	0.382250	26490.027344
10854.386731	0.091014	0.382250	26571.849609
10854.387617	0.091117	0.382250	26652.580078
10854.388559	0.091088	0.382250	26738.384766
10854.389455	0.091176	0.382250	26820.078125
10854.390351	0.091132	0.382250	26901.732422
10854.391235	0.091143	0.382250	26982.302734
10854.392173	0.091154	0.382250	27067.804687
10854.393091	0.091110	0.382250	27151.443359
10854.393987	0.091029	0.382250	27233.005859
10855.441932	1.235541	0.349903	621.476990
10855.442847	1.717013	0.349903	2192.543701
10855.443745	1.691547	0.349903	3711.552734
10855.444644	1.644701	0.349903	5190.138672
